Series;Time;Value
実績;2018-05-13T19:00:00+09:00;null
実績;2018-05-13T20:00:00+09:00;193899
実績;2018-05-13T21:00:00+09:00;210212
実績;2018-05-13T22:00:00+09:00;212803
実績;2018-05-13T23:00:00+09:00;169255
実績;2018-05-14T00:00:00+09:00;110581
実績;2018-05-14T01:00:00+09:00;64928
実績;2018-05-14T02:00:00+09:00;39584
実績;2018-05-14T03:00:00+09:00;25035
実績;2018-05-14T04:00:00+09:00;18335
実績;2018-05-14T05:00:00+09:00;20300
実績;2018-05-14T06:00:00+09:00;26390
実績;2018-05-14T07:00:00+09:00;39888
実績;2018-05-14T08:00:00+09:00;72716
実績;2018-05-14T09:00:00+09:00;128963
実績;2018-05-14T10:00:00+09:00;177022
実績;2018-05-14T11:00:00+09:00;195136
実績;2018-05-14T12:00:00+09:00;215028
実績;2018-05-14T13:00:00+09:00;195978
実績;2018-05-14T14:00:00+09:00;208213
実績;2018-05-14T15:00:00+09:00;218588
実績;2018-05-14T16:00:00+09:00;226488
実績;2018-05-14T17:00:00+09:00;200717
実績;2018-05-14T18:00:00+09:00;167326
実績;2018-05-14T19:00:00+09:00;146077
実績;2018-05-14T20:00:00+09:00;150813
実績;2018-05-14T21:00:00+09:00;172397
実績;2018-05-14T22:00:00+09:00;183308
実績;2018-05-14T23:00:00+09:00;154994
実績;2018-05-15T00:00:00+09:00;98817
実績;2018-05-15T01:00:00+09:00;59984
実績;2018-05-15T02:00:00+09:00;37197
実績;2018-05-15T03:00:00+09:00;24009
実績;2018-05-15T04:00:00+09:00;18511
実績;2018-05-15T05:00:00+09:00;20525
実績;2018-05-15T06:00:00+09:00;29047
実績;2018-05-15T07:00:00+09:00;43635
実績;2018-05-15T08:00:00+09:00;72385
実績;2018-05-15T09:00:00+09:00;118658
実績;2018-05-15T10:00:00+09:00;158785
実績;2018-05-15T11:00:00+09:00;178804
実績;2018-05-15T12:00:00+09:00;195695
実績;2018-05-15T13:00:00+09:00;175976
実績;2018-05-15T14:00:00+09:00;186022
実績;2018-05-15T15:00:00+09:00;197475
実績;2018-05-15T16:00:00+09:00;206761
実績;2018-05-15T17:00:00+09:00;187492
実績;2018-05-15T18:00:00+09:00;148391
実績;2018-05-15T19:00:00+09:00;123940
実績;2018-05-15T20:00:00+09:00;135993
実績;2018-05-15T21:00:00+09:00;153320
実績;2018-05-15T22:00:00+09:00;182264
実績;2018-05-15T23:00:00+09:00;161399
実績;2018-05-16T00:00:00+09:00;98188
実績;2018-05-16T01:00:00+09:00;58650
実績;2018-05-16T02:00:00+09:00;37910
実績;2018-05-16T03:00:00+09:00;24092
実績;2018-05-16T04:00:00+09:00;18843
実績;2018-05-16T05:00:00+09:00;20579
実績;2018-05-16T06:00:00+09:00;30174
実績;2018-05-16T07:00:00+09:00;46649
実績;2018-05-16T08:00:00+09:00;76577
実績;2018-05-16T09:00:00+09:00;113610
実績;2018-05-16T10:00:00+09:00;148475
実績;2018-05-16T11:00:00+09:00;161523
実績;2018-05-16T12:00:00+09:00;183204
実績;2018-05-16T13:00:00+09:00;166538
実績;2018-05-16T14:00:00+09:00;174361
実績;2018-05-16T15:00:00+09:00;188169
実績;2018-05-16T16:00:00+09:00;194265
実績;2018-05-16T17:00:00+09:00;168508
実績;2018-05-16T18:00:00+09:00;132600
実績;2018-05-16T19:00:00+09:00;110619
実績;2018-05-16T20:00:00+09:00;135565
実績;2018-05-16T21:00:00+09:00;163987
実績;2018-05-16T22:00:00+09:00;161665
実績;2018-05-16T23:00:00+09:00;138517
実績;2018-05-17T00:00:00+09:00;90906
実績;2018-05-17T01:00:00+09:00;55144
実績;2018-05-17T02:00:00+09:00;35785
実績;2018-05-17T03:00:00+09:00;23836
実績;2018-05-17T04:00:00+09:00;18499
実績;2018-05-17T05:00:00+09:00;20323
実績;2018-05-17T06:00:00+09:00;28664
実績;2018-05-17T07:00:00+09:00;40259
実績;2018-05-17T08:00:00+09:00;73828
実績;2018-05-17T09:00:00+09:00;123609
実績;2018-05-17T10:00:00+09:00;173041
実績;2018-05-17T11:00:00+09:00;189423
実績;2018-05-17T12:00:00+09:00;187069
実績;2018-05-17T13:00:00+09:00;173959
実績;2018-05-17T14:00:00+09:00;187496
実績;2018-05-17T15:00:00+09:00;199817
実績;2018-05-17T16:00:00+09:00;209312
実績;2018-05-17T17:00:00+09:00;185804
実績;2018-05-17T18:00:00+09:00;152168
実績;2018-05-17T19:00:00+09:00;121544
実績;2018-05-17T20:00:00+09:00;128380
実績;2018-05-17T21:00:00+09:00;155057
実績;2018-05-17T22:00:00+09:00;156908
実績;2018-05-17T23:00:00+09:00;139564
実績;2018-05-18T00:00:00+09:00;91866
実績;2018-05-18T01:00:00+09:00;56681
実績;2018-05-18T02:00:00+09:00;35732
