Series;Time;Value
resizeimage_count.sum {category: iphoneapp};2018-06-13T19:00:00+09:00;null
resizeimage_count.sum {category: iphoneapp};2018-06-13T20:00:00+09:00;29490
resizeimage_count.sum {category: iphoneapp};2018-06-13T21:00:00+09:00;37260
resizeimage_count.sum {category: iphoneapp};2018-06-13T22:00:00+09:00;38820
resizeimage_count.sum {category: iphoneapp};2018-06-13T23:00:00+09:00;32580
resizeimage_count.sum {category: iphoneapp};2018-06-14T00:00:00+09:00;24570
resizeimage_count.sum {category: iphoneapp};2018-06-14T01:00:00+09:00;15100
resizeimage_count.sum {category: iphoneapp};2018-06-14T02:00:00+09:00;9710
resizeimage_count.sum {category: iphoneapp};2018-06-14T03:00:00+09:00;7530
resizeimage_count.sum {category: iphoneapp};2018-06-14T04:00:00+09:00;4370
resizeimage_count.sum {category: iphoneapp};2018-06-14T05:00:00+09:00;7680
resizeimage_count.sum {category: iphoneapp};2018-06-14T06:00:00+09:00;12690
resizeimage_count.sum {category: iphoneapp};2018-06-14T07:00:00+09:00;21230
resizeimage_count.sum {category: iphoneapp};2018-06-14T08:00:00+09:00;17300
resizeimage_count.sum {category: iphoneapp};2018-06-14T09:00:00+09:00;15660
resizeimage_count.sum {category: iphoneapp};2018-06-14T10:00:00+09:00;14570
resizeimage_count.sum {category: iphoneapp};2018-06-14T11:00:00+09:00;12610
resizeimage_count.sum {category: iphoneapp};2018-06-14T12:00:00+09:00;20870
resizeimage_count.sum {category: iphoneapp};2018-06-14T13:00:00+09:00;15810
resizeimage_count.sum {category: iphoneapp};2018-06-14T14:00:00+09:00;15130
resizeimage_count.sum {category: iphoneapp};2018-06-14T15:00:00+09:00;16450
resizeimage_count.sum {category: iphoneapp};2018-06-14T16:00:00+09:00;14450
resizeimage_count.sum {category: iphoneapp};2018-06-14T17:00:00+09:00;18730
resizeimage_count.sum {category: iphoneapp};2018-06-14T18:00:00+09:00;20550
resizeimage_count.sum {category: iphoneapp};2018-06-14T19:00:00+09:00;23420
resizeimage_count.sum {category: iphoneapp};2018-06-14T20:00:00+09:00;35570
resizeimage_count.sum {category: iphoneapp};2018-06-14T21:00:00+09:00;34950
resizeimage_count.sum {category: iphoneapp};2018-06-14T22:00:00+09:00;35220
resizeimage_count.sum {category: iphoneapp};2018-06-14T23:00:00+09:00;38080
resizeimage_count.sum {category: iphoneapp};2018-06-15T00:00:00+09:00;23500
resizeimage_count.sum {category: iphoneapp};2018-06-15T01:00:00+09:00;16030
resizeimage_count.sum {category: iphoneapp};2018-06-15T02:00:00+09:00;8500
resizeimage_count.sum {category: iphoneapp};2018-06-15T03:00:00+09:00;6330
resizeimage_count.sum {category: iphoneapp};2018-06-15T04:00:00+09:00;5850
resizeimage_count.sum {category: iphoneapp};2018-06-15T05:00:00+09:00;8130
resizeimage_count.sum {category: iphoneapp};2018-06-15T06:00:00+09:00;9050
resizeimage_count.sum {category: iphoneapp};2018-06-15T07:00:00+09:00;17080
resizeimage_count.sum {category: iphoneapp};2018-06-15T08:00:00+09:00;20130
resizeimage_count.sum {category: iphoneapp};2018-06-15T09:00:00+09:00;15040
resizeimage_count.sum {category: iphoneapp};2018-06-15T10:00:00+09:00;14590
resizeimage_count.sum {category: iphoneapp};2018-06-15T11:00:00+09:00;13620
resizeimage_count.sum {category: iphoneapp};2018-06-15T12:00:00+09:00;16970
resizeimage_count.sum {category: iphoneapp};2018-06-15T13:00:00+09:00;17100
resizeimage_count.sum {category: iphoneapp};2018-06-15T14:00:00+09:00;15910
resizeimage_count.sum {category: iphoneapp};2018-06-15T15:00:00+09:00;16400
resizeimage_count.sum {category: iphoneapp};2018-06-15T16:00:00+09:00;16580
resizeimage_count.sum {category: iphoneapp};2018-06-15T17:00:00+09:00;17080
resizeimage_count.sum {category: iphoneapp};2018-06-15T18:00:00+09:00;22590
resizeimage_count.sum {category: iphoneapp};2018-06-15T19:00:00+09:00;24880
resizeimage_count.sum {category: iphoneapp};2018-06-15T20:00:00+09:00;30430
resizeimage_count.sum {category: iphoneapp};2018-06-15T21:00:00+09:00;33890
resizeimage_count.sum {category: iphoneapp};2018-06-15T22:00:00+09:00;37790
resizeimage_count.sum {category: iphoneapp};2018-06-15T23:00:00+09:00;33940
resizeimage_count.sum {category: iphoneapp};2018-06-16T00:00:00+09:00;27580
resizeimage_count.sum {category: iphoneapp};2018-06-16T01:00:00+09:00;17120
resizeimage_count.sum {category: iphoneapp};2018-06-16T02:00:00+09:00;10990
