Series;Time;Value
実績;2018-05-13T19:00:00+09:00;null
実績;2018-05-13T20:00:00+09:00;636986
実績;2018-05-13T21:00:00+09:00;728740
実績;2018-05-13T22:00:00+09:00;823348
実績;2018-05-13T23:00:00+09:00;704362
実績;2018-05-14T00:00:00+09:00;497395
実績;2018-05-14T01:00:00+09:00;301359
実績;2018-05-14T02:00:00+09:00;172029
実績;2018-05-14T03:00:00+09:00;101767
実績;2018-05-14T04:00:00+09:00;73168
実績;2018-05-14T05:00:00+09:00;79836
実績;2018-05-14T06:00:00+09:00;125855
実績;2018-05-14T07:00:00+09:00;195458
実績;2018-05-14T08:00:00+09:00;225781
実績;2018-05-14T09:00:00+09:00;206837
実績;2018-05-14T10:00:00+09:00;228354
実績;2018-05-14T11:00:00+09:00;237521
実績;2018-05-14T12:00:00+09:00;349040
実績;2018-05-14T13:00:00+09:00;291988
実績;2018-05-14T14:00:00+09:00;281878
実績;2018-05-14T15:00:00+09:00;284474
実績;2018-05-14T16:00:00+09:00;290431
実績;2018-05-14T17:00:00+09:00;312656
実績;2018-05-14T18:00:00+09:00;363445
実績;2018-05-14T19:00:00+09:00;443968
実績;2018-05-14T20:00:00+09:00;526102
実績;2018-05-14T21:00:00+09:00;666189
実績;2018-05-14T22:00:00+09:00;733757
実績;2018-05-14T23:00:00+09:00;641371
実績;2018-05-15T00:00:00+09:00;425252
実績;2018-05-15T01:00:00+09:00;244927
実績;2018-05-15T02:00:00+09:00;142731
実績;2018-05-15T03:00:00+09:00;91736
実績;2018-05-15T04:00:00+09:00;67578
実績;2018-05-15T05:00:00+09:00;80176
実績;2018-05-15T06:00:00+09:00;131312
実績;2018-05-15T07:00:00+09:00;199104
実績;2018-05-15T08:00:00+09:00;231809
実績;2018-05-15T09:00:00+09:00;201734
実績;2018-05-15T10:00:00+09:00;211876
実績;2018-05-15T11:00:00+09:00;224467
実績;2018-05-15T12:00:00+09:00;331387
実績;2018-05-15T13:00:00+09:00;274121
実績;2018-05-15T14:00:00+09:00;261000
実績;2018-05-15T15:00:00+09:00;268380
実績;2018-05-15T16:00:00+09:00;271801
実績;2018-05-15T17:00:00+09:00;302655
実績;2018-05-15T18:00:00+09:00;348452
実績;2018-05-15T19:00:00+09:00;379681
実績;2018-05-15T20:00:00+09:00;491902
実績;2018-05-15T21:00:00+09:00;595729
実績;2018-05-15T22:00:00+09:00;792082
実績;2018-05-15T23:00:00+09:00;694727
実績;2018-05-16T00:00:00+09:00;430500
実績;2018-05-16T01:00:00+09:00;255482
実績;2018-05-16T02:00:00+09:00;150066
実績;2018-05-16T03:00:00+09:00;93111
実績;2018-05-16T04:00:00+09:00;68788
実績;2018-05-16T05:00:00+09:00;82240
実績;2018-05-16T06:00:00+09:00;135150
実績;2018-05-16T07:00:00+09:00;212777
実績;2018-05-16T08:00:00+09:00;238595
実績;2018-05-16T09:00:00+09:00;199989
実績;2018-05-16T10:00:00+09:00;215434
実績;2018-05-16T11:00:00+09:00;217325
実績;2018-05-16T12:00:00+09:00;314876
実績;2018-05-16T13:00:00+09:00;262718
実績;2018-05-16T14:00:00+09:00;250171
実績;2018-05-16T15:00:00+09:00;261136
実績;2018-05-16T16:00:00+09:00;264217
実績;2018-05-16T17:00:00+09:00;290435
実績;2018-05-16T18:00:00+09:00;339364
実績;2018-05-16T19:00:00+09:00;356562
実績;2018-05-16T20:00:00+09:00;476252
実績;2018-05-16T21:00:00+09:00;618077
実績;2018-05-16T22:00:00+09:00;656696
実績;2018-05-16T23:00:00+09:00;573615
実績;2018-05-17T00:00:00+09:00;393550
実績;2018-05-17T01:00:00+09:00;240155
実績;2018-05-17T02:00:00+09:00;138566
実績;2018-05-17T03:00:00+09:00;90657
実績;2018-05-17T04:00:00+09:00;64316
実績;2018-05-17T05:00:00+09:00;78146
実績;2018-05-17T06:00:00+09:00;126138
実績;2018-05-17T07:00:00+09:00;191465
実績;2018-05-17T08:00:00+09:00;225151
実績;2018-05-17T09:00:00+09:00;205918
実績;2018-05-17T10:00:00+09:00;214072
実績;2018-05-17T11:00:00+09:00;221822
実績;2018-05-17T12:00:00+09:00;306297
実績;2018-05-17T13:00:00+09:00;257739
実績;2018-05-17T14:00:00+09:00;250920
実績;2018-05-17T15:00:00+09:00;263828
実績;2018-05-17T16:00:00+09:00;261868
実績;2018-05-17T17:00:00+09:00;291489
実績;2018-05-17T18:00:00+09:00;333347
実績;2018-05-17T19:00:00+09:00;347905
実績;2018-05-17T20:00:00+09:00;454150
実績;2018-05-17T21:00:00+09:00;572482
実績;2018-05-17T22:00:00+09:00;612493
実績;2018-05-17T23:00:00+09:00;566546
実績;2018-05-18T00:00:00+09:00;389924
実績;2018-05-18T01:00:00+09:00;243510
実績;2018-05-18T02:00:00+09:00;142467
実績;2018-05-18T03:00:00+09:00;85473
実績;2018-05-18T04:00:00+09:00;65837
実績;2018-05-18T05:00:00+09:00;77183
実績;2018-05-18T06:00:00+09:00;126100
実績;2018-05-18T07:00:00+09:00;179314
実績;2018-05-18T08:00:00+09:00;204109
実績;2018-05-18T09:00:00+09:00;188271
実績;2018-05-18T10:00:00+09:00;202450
実績;2018-05-18T11:00:00+09:00;206049
実績;2018-05-18T12:00:00+09:00;297665
実績;2018-05-18T13:00:00+09:00;253675
実績;2018-05-18T14:00:00+09:00;244190
実績;2018-05-18T15:00:00+09:00;258300
実績;2018-05-18T16:00:00+09:00;256050
実績;2018-05-18T17:00:00+09:00;278999
実績;2018-05-18T18:00:00+09:00;312166
実績;2018-05-18T19:00:00+09:00;342086
実績;2018-05-18T20:00:00+09:00;423308
実績;2018-05-18T21:00:00+09:00;502135
実績;2018-05-18T22:00:00+09:00;542996
実績;2018-05-18T23:00:00+09:00;517055
実績;2018-05-19T00:00:00+09:00;389346
実績;2018-05-19T01:00:00+09:00;255821
実績;2018-05-19T02:00:00+09:00;149491
実績;2018-05-19T03:00:00+09:00;95428
実績;2018-05-19T04:00:00+09:00;70926
実績;2018-05-19T05:00:00+09:00;81058
実績;2018-05-19T06:00:00+09:00;127653
実績;2018-05-19T07:00:00+09:00;185059
実績;2018-05-19T08:00:00+09:00;229160
実績;2018-05-19T09:00:00+09:00;258379
実績;2018-05-19T10:00:00+09:00;289275
実績;2018-05-19T11:00:00+09:00;297826
実績;2018-05-19T12:00:00+09:00;312355
実績;2018-05-19T13:00:00+09:00;368982
実績;2018-05-19T14:00:00+09:00;348280
実績;2018-05-19T15:00:00+09:00;358953
実績;2018-05-19T16:00:00+09:00;376818
実績;2018-05-19T17:00:00+09:00;402819
実績;2018-05-19T18:00:00+09:00;391714
実績;2018-05-19T19:00:00+09:00;362813
実績;2018-05-19T20:00:00+09:00;481157
実績;2018-05-19T21:00:00+09:00;593143
実績;2018-05-19T22:00:00+09:00;637832
実績;2018-05-19T23:00:00+09:00;576770
実績;2018-05-20T00:00:00+09:00;446570
実績;2018-05-20T01:00:00+09:00;284436
実績;2018-05-20T02:00:00+09:00;166610
実績;2018-05-20T03:00:00+09:00;105992
実績;2018-05-20T04:00:00+09:00;77089
実績;2018-05-20T05:00:00+09:00;87156
実績;2018-05-20T06:00:00+09:00;136674
実績;2018-05-20T07:00:00+09:00;192253
実績;2018-05-20T08:00:00+09:00;253721
実績;2018-05-20T09:00:00+09:00;281381
実績;2018-05-20T10:00:00+09:00;314823
実績;2018-05-20T11:00:00+09:00;339465
実績;2018-05-20T12:00:00+09:00;349706
実績;2018-05-20T13:00:00+09:00;361026
実績;2018-05-20T14:00:00+09:00;379529
実績;2018-05-20T15:00:00+09:00;407905
実績;2018-05-20T16:00:00+09:00;435339
実績;2018-05-20T17:00:00+09:00;459751
実績;2018-05-20T18:00:00+09:00;443598
実績;2018-05-20T19:00:00+09:00;439223
実績;2018-05-20T20:00:00+09:00;545838
実績;2018-05-20T21:00:00+09:00;636683
実績;2018-05-20T22:00:00+09:00;736511
実績;2018-05-20T23:00:00+09:00;641657
実績;2018-05-21T00:00:00+09:00;447223
実績;2018-05-21T01:00:00+09:00;265694
実績;2018-05-21T02:00:00+09:00;150882
実績;2018-05-21T03:00:00+09:00;92420
実績;2018-05-21T04:00:00+09:00;68283
実績;2018-05-21T05:00:00+09:00;76845
実績;2018-05-21T06:00:00+09:00;129822
実績;2018-05-21T07:00:00+09:00;197442
実績;2018-05-21T08:00:00+09:00;222039
実績;2018-05-21T09:00:00+09:00;201878
実績;2018-05-21T10:00:00+09:00;219665
実績;2018-05-21T11:00:00+09:00;233914
実績;2018-05-21T12:00:00+09:00;352658
実績;2018-05-21T13:00:00+09:00;291637
実績;2018-05-21T14:00:00+09:00;269973
実績;2018-05-21T15:00:00+09:00;279277
実績;2018-05-21T16:00:00+09:00;285212
実績;2018-05-21T17:00:00+09:00;312616
実績;2018-05-21T18:00:00+09:00;360113
実績;2018-05-21T19:00:00+09:00;396394
実績;2018-05-21T20:00:00+09:00;517718
実績;2018-05-21T21:00:00+09:00;647299
実績;2018-05-21T22:00:00+09:00;709147
実績;2018-05-21T23:00:00+09:00;610373
実績;2018-05-22T00:00:00+09:00;397435
実績;2018-05-22T01:00:00+09:00;237182
実績;2018-05-22T02:00:00+09:00;137639
実績;2018-05-22T03:00:00+09:00;87694
実績;2018-05-22T04:00:00+09:00;63714
実績;2018-05-22T05:00:00+09:00;82705
実績;2018-05-22T06:00:00+09:00;134312
実績;2018-05-22T07:00:00+09:00;200592
実績;2018-05-22T08:00:00+09:00;229963
実績;2018-05-22T09:00:00+09:00;206782
実績;2018-05-22T10:00:00+09:00;215995
実績;2018-05-22T11:00:00+09:00;224206
実績;2018-05-22T12:00:00+09:00;339353
実績;2018-05-22T13:00:00+09:00;277102
実績;2018-05-22T14:00:00+09:00;255027
実績;2018-05-22T15:00:00+09:00;247385
実績;2018-05-22T16:00:00+09:00;263108
実績;2018-05-22T17:00:00+09:00;292269
実績;2018-05-22T18:00:00+09:00;337923
実績;2018-05-22T19:00:00+09:00;373830
実績;2018-05-22T20:00:00+09:00;485828
実績;2018-05-22T21:00:00+09:00;585897
実績;2018-05-22T22:00:00+09:00;618791
実績;2018-05-22T23:00:00+09:00;559827
実績;2018-05-23T00:00:00+09:00;395721
実績;2018-05-23T01:00:00+09:00;228439
実績;2018-05-23T02:00:00+09:00;131862
実績;2018-05-23T03:00:00+09:00;82697
実績;2018-05-23T04:00:00+09:00;63007
実績;2018-05-23T05:00:00+09:00;75700
実績;2018-05-23T06:00:00+09:00;127362
実績;2018-05-23T07:00:00+09:00;189396
実績;2018-05-23T08:00:00+09:00;222700
実績;2018-05-23T09:00:00+09:00;204881
実績;2018-05-23T10:00:00+09:00;220928
実績;2018-05-23T11:00:00+09:00;221260
実績;2018-05-23T12:00:00+09:00;305168
実績;2018-05-23T13:00:00+09:00;272552
実績;2018-05-23T14:00:00+09:00;263494
実績;2018-05-23T15:00:00+09:00;292849
実績;2018-05-23T16:00:00+09:00;284361
実績;2018-05-23T17:00:00+09:00;305475
実績;2018-05-23T18:00:00+09:00;353001
実績;2018-05-23T19:00:00+09:00;375834
実績;2018-05-23T20:00:00+09:00;485787
実績;2018-05-23T21:00:00+09:00;576996
実績;2018-05-23T22:00:00+09:00;622236
実績;2018-05-23T23:00:00+09:00;540310
実績;2018-05-24T00:00:00+09:00;367353
実績;2018-05-24T01:00:00+09:00;222936
実績;2018-05-24T02:00:00+09:00;128274
実績;2018-05-24T03:00:00+09:00;81471
実績;2018-05-24T04:00:00+09:00;59489
実績;2018-05-24T05:00:00+09:00;78420
実績;2018-05-24T06:00:00+09:00;120850
実績;2018-05-24T07:00:00+09:00;183139
実績;2018-05-24T08:00:00+09:00;207464
実績;2018-05-24T09:00:00+09:00;190718
実績;2018-05-24T10:00:00+09:00;206520
実績;2018-05-24T11:00:00+09:00;213649
