SPPV,CPU,pvps
777.55,211,51.79
751.46,198,57.66
793.93,210,65.05
915.79,239,80.88
990.15,260,91.95
1229.36,333,93.18
1495.13,404,74.63
1535.51,412,51.77
1314.32,357,35.70
917.47,249,27.32
607.17,169,21.77
467.92,130,20.47
364.62,97,21.33
333.07,94,24.65
345.75,106,37.42
415.21,109,41.11
591.84,159,42.55
649.11,173,44.94
672.37,177,49.40
721.76,193,55.72
764.24,209,50.78
929.14,252,49.50
818.28,218,49.23
794.55,217,47.44
780.74,213,49.07
768.89,213,55.36
776.6,213,61.03
898.89,248,73.95
1007.68,275,83.41
1255.42,343,89.82
1395.16,391,86.43
1501.25,414,65.38
1343.02,362,45.79
970.47,265,32.92
666.62,180,26.05
494.92,131,23.74
403.38,103,23.20
344.23,88,24.14
401.85,107,30.50
452.59,112,42.20
617.84,152,42.92
665.14,168,46.99
689.64,176,48.21
799.48,203,57.72
785.88,203,51.16
967.14,252,46.87
791.34,208,48.33
734.4,195,46.37
781.82,207,47.81
769.18,202,49.59
767.34,199,58.02
871.09,223,64.51
983.57,252,75.26
1152.48,305,79.72
1333.97,362,82.42
1230.28,341,72.60
1266.92,336,58.11
1011.06,265,41.41
735.95,190,30.19
489.5,129,23.24
389.06,99,20.57
342.3,89,21.60
349.12,97,25.77
397.67,98,39.56
561.74,138,48.11
749.02,195,52.68
834.47,214,57.50
931.01,242,56.74
903.9,238,59.54
957.87,252,62.49
1024.24,268,63.81
1006.48,269,66.64
1101.32,295,65.37
1049.37,281,64.27
1046.39,271,63.85
1015.47,259,68.65
1122.27,292,79.94
1340.92,362,89.05
1551.34,420,90.48
1426.15,390,91.11
1510.16,408,73.54
1124.55,303,52.97
837.02,221,37.69
560.99,153,30.57
486.65,121,27.94
411.18,108,26.86
441.26,113,26.92
493.48,114,36.33
658.53,152,50.29
855.73,219,60.42
1045.71,259,68.35
1112.03,280,69.53
1115.19,279,68.91
1145.45,293,71.22
1148.49,299,72.79
1209.65,316,74.32
1194.61,316,75.44
1230.3,330,83.57
1247.08,328,74.23
1182.64,304,75.86
1251.98,322,86.52
1447.89,394,93.92
1696.89,452,101.13
1681.45,456,103.94
1497.83,404,81.02
1074.16,289,56.44
719.93,196,39.11
486.43,137,28.89
449.12,113,25.62
387.63,112,23.75
387.34,107,24.47
466.71,119,30.64
631.53,160,40.66
683.71,178,44.41
744.32,190,48.45
835.77,212,52.16
846.04,216,58.59
1067.38,276,60.86
946.51,240,57.49
908.16,233,57.26
946.86,241,56.28
880.81,222,55.45
908.43,231,57.98
1033.38,265,65.85
1179.57,303,73.25
1375.31,367,86.90
1593.51,426,95.99
1682.32,445,101.12
1469.62,398,89.91
1029.16,273,65.12
712.47,192,44.97
497.49,134,32.78
446.15,111,27.09
367.98,101,24.84
414.6,114,24.68
460.53,113,29.09
601.07,146,36.11
649.13,167,41.02
654.21,162,40.98
764.08,194,45.04
847.7,221,52.16
1095.44,283,64.57
959.62,246,59.01
943.13,244,57.50
902.69,231,56.67
872.38,224,54.92
906.48,229,55.73
1028.17,261,61.39
1157.3,296,70.23
1486.2,397,83.59
2041.55,553,116.33
2739.14,776,163.57
1712.01,440,123.91
1145.8,303,83.41
729.53,196,56.03
496.44,138,38.22
409.34,106,28.39
388.09,107,24.74
447.67,119,25.09
537.4,131,27.71
776.73,193,36.08
777.5,200,48.29
813.59,204,48.46
888.76,239,52.24
900.89,229,54.62
1140.31,290,61.90
1027.04,266,64.75
950.61,248,61.67
945.51,242,60.95
942.42,239,58.46
965.03,246,58.40
1095.65,274,61.67
1215.29,308,70.71
1480.68,384,78.21
1614.08,425,91.18
1678.57,444,99.09
1510.05,402,103.35
1060.99,280,88.92
696.08,184,64.24
490.4,129,44.40
462.99,114,32.72
426.8,112,27.99
423.48,107,25.92
502.34,119,25.87
742.94,182,30.66
807.87,199,43.28
796.62,197,50.40
872.32,221,51.13
901.69,223,53.83
1098.78,278,57.03
973.74,248,67.49
975.22,242,61.07
1016.27,251,59.77
941.75,239,61.98
994.64,251,58.94
1094.8,281,60.67
1175.99,300,66.03
1471.61,394,71.37
1527.24,415,84.39
1605.54,432,92.92
1475.6,409,97.91
1022.95,277,97.90
