Date,cpu_total,pvps_total,System,User,Nice,IOwait,Idle,Total,Web227,web227_pvps,System,User,Nice,IOwait,Idle,Total,web228,web228_pvps
2018/4/1 10:00,25.08,91.75,2.52,10.32,0,0.37,86.78,100,13,45.79,2.5,9.74,0,0.35,87.42,100,12,45.96
2018/4/1 10:05,23.70,85.67,2.42,9.76,0,0.37,87.45,100,12,42.93,2.37,9.15,0,0.35,88.12,100,12,42.74
2018/4/1 10:10,24.86,90.28,2.54,10.19,0,0.35,86.92,100,13,44.88,2.48,9.65,0,0.3,87.58,100,12,45.4
2018/4/1 10:15,23.99,88.79,2.4,9.6,0,0.36,87.64,100,12,44.21,2.45,9.54,0,0.32,87.69,100,12,44.58
2018/4/1 10:20,24.07,87.41,2.44,10.04,0,0.33,87.18,100,12,43.94,2.37,9.22,0,0.32,88.09,100,12,43.47
2018/4/1 10:25,24.67,91.10,2.49,10.12,0,0.35,87.04,100,13,46.22,2.46,9.6,0,0.36,87.58,100,12,44.88
2018/4/1 10:30,24.24,90.45,2.4,9.79,0,0.35,87.47,100,12,44.97,2.51,9.54,0,0.33,87.62,100,12,45.48
2018/4/1 10:35,24.31,90.09,2.44,9.77,0,0.35,87.43,100,12,44.65,2.47,9.63,0,0.33,87.57,100,12,45.44
2018/4/1 10:40,25.96,94.44,2.55,10.66,0,0.36,86.44,100,13,46.82,2.54,10.21,0,0.32,86.93,100,13,47.62
2018/4/1 10:45,25.88,92.34,2.55,10.49,0,0.37,86.6,100,13,46.37,2.59,10.25,0,0.35,86.82,100,13,45.97
2018/4/1 10:50,26.12,98.32,2.56,10.61,0,0.35,86.48,100,13,49.02,2.64,10.31,0,0.34,86.71,100,13,49.3
2018/4/1 10:55,26.50,101.74,2.64,10.75,0,0.37,86.24,100,13,50.56,2.66,10.45,0,0.35,86.54,100,13,51.18
2018/4/1 11:00,26.82,98.81,2.7,10.99,0,0.38,85.92,100,14,49.69,2.64,10.49,0,0.33,86.53,100,13,49.12
2018/4/1 11:05,26.24,95.85,2.66,10.76,0,0.35,86.22,100,13,48.47,2.62,10.2,0,0.34,86.83,100,13,47.38
2018/4/1 11:10,25.68,95.08,2.63,10.65,0,0.37,86.35,100,13,47.92,2.53,9.87,0,0.35,87.25,100,12,47.16
2018/4/1 11:15,24.56,90.37,2.47,10,0,0.38,87.14,100,12,45.07,2.49,9.6,0,0.32,87.58,100,12,45.3
2018/4/1 11:20,25.63,92.54,2.53,10.4,0,0.38,86.69,100,13,45.9,2.5,10.2,0,0.3,87,100,13,46.64
2018/4/1 11:25,26.04,95.84,2.7,11.16,0,0.36,85.78,100,14,48.48,2.46,9.72,0,0.35,87.48,100,12,47.36
2018/4/1 11:30,26.84,97.18,2.66,10.9,0,0.37,86.06,100,14,48.67,2.65,10.63,0,0.33,86.39,100,13,48.51
2018/4/1 11:35,27.37,97.16,2.72,11.22,0,0.35,85.71,100,14,48.59,2.71,10.72,0,0.34,86.22,100,13,48.57
2018/4/1 11:40,26.90,97.26,2.66,10.92,0,0.35,86.06,100,14,48.54,2.72,10.6,0,0.3,86.38,100,13,48.72
2018/4/1 11:45,25.90,97.38,2.62,10.6,0,0.36,86.42,100,13,48.57,2.62,10.06,0,0.31,87,100,13,48.81
2018/4/1 11:50,26.53,98.70,2.57,10.56,0,0.34,86.53,100,13,48.81,2.68,10.72,0,0.33,86.27,100,13,49.89
2018/4/1 11:55,25.78,95.96,2.6,10.54,0,0.36,86.5,100,13,48.35,2.59,10.05,0,0.32,87.03,100,13,47.61
2018/4/1 12:00,23.95,89.14,2.43,9.7,0,0.36,87.51,100,12,44.92,2.41,9.41,0,0.29,87.89,100,12,44.22
2018/4/1 12:05,25.74,94.12,2.51,10.31,0,0.37,86.81,100,13,47.17,2.62,10.3,0,0.3,86.79,100,13,46.95
2018/4/1 12:10,25.34,93.03,2.54,10.41,0,0.36,86.69,100,13,46.3,2.48,9.91,0,0.25,87.36,100,12,46.73
2018/4/1 12:15,25.09,95.74,2.57,10.42,0,0.35,86.65,100,13,48.88,2.49,9.61,0,0.32,87.57,100,12,46.86
2018/4/1 12:20,26.61,95.30,2.57,10.69,0,0.36,86.39,100,13,47.41,2.68,10.67,0,0.29,86.36,100,13,47.89
2018/4/1 12:25,25.83,95.12,2.57,10.55,0,0.35,86.52,100,13,47.24,2.57,10.14,0,0.35,86.94,100,13,47.88
2018/4/1 12:30,26.63,96.95,2.66,10.88,0,0.36,86.11,100,14,49.02,2.64,10.45,0,0.29,86.62,100,13,47.93
2018/4/1 12:35,26.93,98.03,2.66,10.76,0,0.34,86.24,100,13,49.33,2.74,10.77,0,0.3,86.2,100,14,48.7
2018/4/1 12:40,27.30,99.44,2.75,11.16,0,0.37,85.71,100,14,49.91,2.7,10.69,0,0.31,86.3,100,13,49.53
2018/4/1 12:45,26.83,99.91,2.68,10.94,0,0.37,86.01,100,14,49.93,2.74,10.47,0,0.31,86.47,100,13,49.98
2018/4/1 12:50,27.50,100.08,2.75,11.13,0,0.37,85.75,100,14,50.3,2.77,10.85,0,0.33,86.05,100,14,49.78
2018/4/1 12:55,27.22,101.02,2.8,11.25,0,0.35,85.6,100,14,51.21,2.73,10.44,0,0.34,86.49,100,13,49.81
2018/4/1 13:00,27.93,103.47,2.71,11.13,0,0.36,85.8,100,14,51.31,2.83,11.26,0,0.32,85.59,100,14,52.16
2018/4/1 13:05,26.56,97.00,2.63,10.76,0,0.36,86.25,100,13,48.75,2.7,10.47,0,0.35,86.48,100,13,48.25
2018/4/1 13:10,26.95,100.42,2.74,11.1,0,0.38,85.78,100,14,50.7,2.66,10.45,0,0.33,86.56,100,13,49.72
2018/4/1 13:15,26.96,99.15,2.65,10.88,0,0.35,86.12,100,14,49.67,2.75,10.68,0,0.35,86.22,100,13,49.48
2018/4/1 13:20,27.43,101.77,2.75,11.6,0,0.38,85.28,100,14,51.97,2.66,10.42,0,0.37,86.55,100,13,49.8
2018/4/1 13:25,28.18,103.67,2.76,11.56,0,0.37,85.31,100,14,51.51,2.84,11.02,0,0.4,85.74,100,14,52.16
2018/4/1 13:30,28.25,105.09,2.76,11.53,0,0.35,85.35,100,14,52.13,2.81,11.15,0,0.35,85.69,100,14,52.96
2018/4/1 13:35,26.33,97.55,2.6,10.64,0,0.35,86.41,100,13,48.2,2.66,10.43,0,0.4,86.52,100,13,49.35
2018/4/1 13:40,26.27,98.21,2.58,10.72,0,0.36,86.33,100,13,48.78,2.66,10.31,0,0.34,86.69,100,13,49.43
2018/4/1 13:45,28.50,102.66,2.83,11.63,0,0.36,85.18,100,14,51.1,2.9,11.14,0,0.36,85.61,100,14,51.56
2018/4/1 13:50,28.83,107.61,2.83,11.65,0,0.35,85.17,100,14,53.71,2.86,11.49,0,0.36,85.29,100,14,53.9
2018/4/1 13:55,28.22,102.06,2.78,11.57,0,0.35,85.3,100,14,50.74,2.84,11.03,0,0.36,85.77,100,14,51.32
2018/4/1 14:00,25.89,93.64,2.59,10.81,0,0.37,86.23,100,13,47.14,2.55,9.94,0,0.32,87.19,100,12,46.5
2018/4/1 14:05,25.65,96.33,2.55,10.51,0,0.33,86.61,100,13,47.77,2.59,10,0,0.38,87.03,100,13,48.56
2018/4/1 14:10,26.94,98.61,2.6,10.68,0,0.37,86.36,100,13,48.63,2.79,10.87,0,0.33,86.01,100,14,49.98
2018/4/1 14:15,27.87,103.08,2.73,11.11,0,0.35,85.81,100,14,51.43,2.9,11.13,0,0.39,85.58,100,14,51.65
2018/4/1 14:20,27.15,98.79,2.73,11.35,0,0.37,85.56,100,14,49.73,2.64,10.43,0,0.34,86.59,100,13,49.06
2018/4/1 14:25,28.47,103.20,2.82,11.59,0,0.39,85.2,100,14,51,2.85,11.21,0,0.35,85.59,100,14,52.2
2018/4/1 14:30,28.02,103.64,2.79,11.52,0,0.37,85.32,100,14,51.39,2.81,10.9,0,0.31,85.97,100,14,52.25
2018/4/1 14:35,27.29,100.02,2.75,10.96,0,0.34,85.94,100,14,49.65,2.8,10.78,0,0.36,86.06,100,14,50.37
2018/4/1 14:40,27.53,102.56,2.82,11.18,0,0.39,85.61,100,14,52.05,2.75,10.78,0,0.33,86.14,100,14,50.51
2018/4/1 14:45,27.86,101.32,2.79,11.3,0,0.36,85.54,100,14,49.77,2.86,10.91,0,0.38,85.85,100,14,51.55
2018/4/1 14:50,28.63,103.40,2.86,11.44,0,0.35,85.35,100,14,51.23,2.88,11.45,0,0.35,85.32,100,14,52.17
2018/4/1 14:55,28.00,102.12,2.85,11.52,0,0.35,85.28,100,14,51.6,2.78,10.85,0,0.35,86.02,100,14,50.52
2018/4/1 15:00,28.99,104.26,2.92,12.02,0,0.34,84.73,100,15,52.17,2.86,11.19,0,0.37,85.58,100,14,52.09
2018/4/1 15:05,30.03,105.51,3.07,12.3,0,0.35,84.29,100,15,53.11,3,11.66,0,0.36,84.98,100,15,52.4
2018/4/1 15:10,28.85,104.17,2.92,11.59,0,0.34,85.15,100,15,51.82,2.94,11.4,0,0.35,85.31,100,14,52.35
2018/4/1 15:15,28.26,102.02,2.89,11.42,0,0.35,85.34,100,14,51.43,2.85,11.1,0,0.38,85.68,100,14,50.59
2018/4/1 15:20,28.88,102.79,2.85,11.63,0,0.36,85.16,100,14,51.2,2.9,11.5,0,0.35,85.25,100,14,51.59
2018/4/1 15:25,28.94,102.56,2.86,11.99,0,0.34,84.81,100,15,51.34,2.87,11.22,0,0.37,85.54,100,14,51.22
2018/4/1 15:30,28.06,101.92,2.8,11.53,0,0.36,85.31,100,14,51.07,2.77,10.96,0,0.33,85.94,100,14,50.85
2018/4/1 15:35,28.73,101.95,2.81,11.54,0,0.34,85.31,100,14,50.38,2.87,11.51,0,0.32,85.3,100,14,51.57
2018/4/1 15:40,27.86,101.91,2.72,11.05,0,0.36,85.87,100,14,50.83,2.86,11.23,0,0.28,85.63,100,14,51.08
2018/4/1 15:45,27.86,99.98,2.69,11.02,0,0.38,85.91,100,14,49.88,2.88,11.27,0,0.3,85.54,100,14,50.1
2018/4/1 15:50,27.09,99.04,2.7,11.12,0,0.38,85.8,100,14,49.82,2.68,10.59,0,0.31,86.42,100,13,49.22
2018/4/1 15:55,28.95,102.46,2.84,11.62,0,0.35,85.19,100,14,50.77,2.95,11.54,0,0.32,85.18,100,14,51.69
2018/4/1 16:00,30.56,108.43,2.95,12.1,0,0.38,84.57,100,15,53.97,3.17,12.34,0,0.27,84.22,100,16,54.46
2018/4/1 16:05,31.74,110.64,3.12,12.86,0,0.4,83.62,100,16,56.16,3.15,12.61,0,0.32,83.93,100,16,54.48
2018/4/1 16:10,31.41,109.33,2.98,12.79,0,0.36,83.86,100,16,55.56,3.12,12.52,0,0.36,84,100,16,53.77
2018/4/1 16:15,31.69,107.96,2.98,12.49,0,0.35,84.18,100,15,53.83,3.24,12.98,0,0.33,83.45,100,16,54.13
2018/4/1 16:20,31.77,109.41,3.15,13.44,0,0.35,83.05,100,17,55.49,3.05,12.13,0,0.36,84.45,100,15,53.92
2018/4/1 16:25,30.69,107.49,2.97,12.38,0,0.36,84.29,100,15,53.53,3.11,12.23,0,0.36,84.3,100,15,53.96
2018/4/1 16:30,30.25,105.57,3.08,12.86,0,0.36,83.69,100,16,53.61,2.87,11.44,0,0.36,85.32,100,14,51.96
2018/4/1 16:35,29.34,106.38,2.9,11.86,0,0.37,84.87,100,15,53.47,2.91,11.67,0,0.38,85.04,100,15,52.91
2018/4/1 16:40,28.59,103.23,2.82,11.57,0,0.36,85.25,100,14,51.75,2.85,11.35,0,0.36,85.43,100,14,51.48
2018/4/1 16:45,28.83,104.20,2.88,11.95,0,0.37,84.8,100,15,52.08,2.84,11.16,0,0.36,85.63,100,14,52.12
2018/4/1 16:50,30.26,109.79,3.03,12.46,0,0.36,84.15,100,15,55.87,2.94,11.83,0,0.35,84.88,100,15,53.92
2018/4/1 16:55,31.02,109.18,3.05,12.79,0,0.35,83.81,100,16,54.32,3.02,12.16,0,0.34,84.47,100,15,54.86
2018/4/1 17:00,31.17,110.17,3.05,12.64,0,0.37,83.94,100,16,55.45,3.05,12.43,0,0.34,84.18,100,15,54.72
2018/4/1 17:05,29.49,107.16,2.92,11.88,0,0.4,84.81,100,15,52.7,2.95,11.74,0,0.38,84.92,100,15,54.46
2018/4/1 17:10,29.00,104.65,2.87,11.77,0,0.36,85,100,15,51.89,2.87,11.49,0,0.33,85.31,100,14,52.76
2018/4/1 17:15,29.85,108.63,2.91,12.1,0,0.37,84.62,100,15,53.81,2.98,11.86,0,0.33,84.82,100,15,54.82
2018/4/1 17:20,31.33,109.58,3.09,12.99,0,0.35,83.58,100,16,55.49,3,12.25,0,0.32,84.43,100,15,54.09
2018/4/1 17:25,31.72,111.79,3.13,13.02,0,0.37,83.48,100,16,56.73,3.12,12.45,0,0.31,84.13,100,16,55.06
2018/4/1 17:30,32.08,115.80,3.2,13.15,0,0.36,83.3,100,16,58.02,3.16,12.57,0,0.33,83.94,100,16,57.78
2018/4/1 17:35,32.59,116.92,3.18,13.14,0,0.37,83.3,100,16,58.07,3.24,13.03,0,0.34,83.39,100,16,58.85
2018/4/1 17:40,31.06,113.57,3.13,12.74,0,0.36,83.77,100,16,56.74,3.04,12.15,0,0.32,84.48,100,15,56.83
2018/4/1 17:45,32.48,113.54,3.18,13.21,0,0.36,83.24,100,16,56.27,3.23,12.86,0,0.35,83.56,100,16,57.27
2018/4/1 17:50,30.31,108.39,3.03,12.56,0,0.36,84.05,100,16,55.03,2.93,11.79,0,0.34,84.94,100,15,53.36
2018/4/1 17:55,30.16,109.26,2.94,12.18,0,0.35,84.52,100,15,54.75,3.01,12.03,0,0.34,84.62,100,15,54.51
2018/4/1 18:00,31.69,114.05,3.2,13.06,0,0.38,83.36,100,16,57.1,3.1,12.33,0,0.33,84.24,100,15,56.95
2018/4/1 18:05,31.97,115.14,3.28,13.11,0,0.36,83.25,100,16,58.36,3.1,12.48,0,0.36,84.07,100,16,56.78
2018/4/1 18:10,31.91,113.77,3.29,13.4,0,0.35,82.95,100,17,57.69,3.09,12.13,0,0.31,84.47,100,15,56.08
2018/4/1 18:15,31.73,112.99,3.12,12.64,0,0.31,83.94,100,16,55.58,3.22,12.75,0,0.33,83.69,100,16,57.41
2018/4/1 18:20,30.39,109.48,2.97,12.25,0,0.38,84.39,100,15,53.35,3.04,12.13,0,0.34,84.48,100,15,56.13
2018/4/1 18:25,29.34,107.38,2.99,11.98,0,0.36,84.67,100,15,52.73,2.9,11.47,0,0.33,85.29,100,14,54.65
2018/4/1 18:30,31.33,113.65,3.07,12.75,0,0.34,83.84,100,16,57.03,3.12,12.39,0,0.36,84.13,100,16,56.62
2018/4/1 18:35,30.85,110.29,3.06,12.74,0,0.34,83.86,100,16,55.67,3.01,12.04,0,0.32,84.62,100,15,54.62
2018/4/1 18:40,31.44,113.12,3.19,12.86,0,0.37,83.58,100,16,57.12,3.06,12.33,0,0.35,84.26,100,15,56
2018/4/1 18:45,30.88,112.40,3.05,12.41,0,0.38,84.16,100,15,56,3.09,12.33,0,0.36,84.22,100,15,56.4
2018/4/1 18:50,29.78,108.09,2.94,11.89,0,0.34,84.82,100,15,53.15,3.01,11.94,0,0.32,84.72,100,15,54.94
2018/4/1 18:55,30.47,112.86,3.03,12.43,0,0.35,84.19,100,15,56.44,3.05,11.96,0,0.35,84.64,100,15,56.42
2018/4/1 19:00,29.82,111.56,2.95,12.07,0,0.31,84.67,100,15,56.45,2.98,11.82,0,0.35,84.85,100,15,55.11
2018/4/1 19:05,31.09,120.32,3.19,12.65,0,0.39,83.77,100,16,59.73,3.15,12.1,0,0.35,84.4,100,15,60.59
2018/4/1 19:10,30.74,117.35,3.13,12.46,0,0.35,84.06,100,16,59.07,3.04,12.11,0,0.31,84.54,100,15,58.28
2018/4/1 19:15,31.49,117.32,3.17,12.71,0,0.35,83.78,100,16,58.38,3.19,12.42,0,0.34,84.05,100,16,58.94
2018/4/1 19:20,30.41,114.66,3.1,12.52,0,0.34,84.04,100,16,58.04,2.97,11.82,0,0.33,84.89,100,15,56.62
2018/4/1 19:25,31.82,120.96,3.16,12.89,0,0.36,83.59,100,16,60.36,3.18,12.59,0,0.35,83.88,100,16,60.6
2018/4/1 19:30,32.11,122.53,3.14,13.01,0,0.31,83.54,100,16,60.6,3.26,12.7,0,0.32,83.72,100,16,61.93
2018/4/1 19:35,30.35,113.54,3.03,12.27,0,0.36,84.34,100,15,56.74,3.03,12.02,0,0.34,84.6,100,15,56.8
2018/4/1 19:40,31.67,116.93,3.1,12.74,0,0.37,83.79,100,16,57.52,3.2,12.63,0,0.32,83.85,100,16,59.41
2018/4/1 19:45,30.50,112.46,3.02,12.47,0,0.31,84.2,100,15,56.53,3.06,11.95,0,0.33,84.66,100,15,55.93
2018/4/1 19:50,30.87,112.62,3.04,12.71,0,0.36,83.88,100,16,56.68,3.06,12.06,0,0.31,84.56,100,15,55.94
2018/4/1 19:55,31.91,114.29,3.12,12.84,0,0.35,83.7,100,16,56.79,3.24,12.71,0,0.33,83.73,100,16,57.5
2018/4/1 20:00,33.50,122.17,3.33,13.65,0,0.33,82.69,100,17,61.94,3.23,13.29,0,0.32,83.17,100,17,60.23
2018/4/1 20:05,32.33,120.13,3.14,13.12,0,0.3,83.44,100,16,59.31,3.22,12.85,0,0.36,83.57,100,16,60.82
2018/4/1 20:10,34.99,128.19,3.41,14.1,0,0.34,82.15,100,18,62.82,3.44,14.04,0,0.3,82.22,100,17,65.37
